scam_type,primary_scam_category,amount_lost,reports,average_loss_per_report
Investment scams,Investment scams,119243620.1,4649,25649.305248
Phishing,Attempts to gain your personal information,23980230.07,47943,500.182093
Dating and romance scams,Dating and romance,22293925.81,2288,9743.848693
False billing,Buying or selling,17757983.04,10277,1727.934518
Jobs and employment scams,Jobs and employment,16418717.37,4746,3459.485329
"Threats to life, arrest or other",Threats and extortion,10289330.92,4013,2563.999731
Shopping scams,Buying or selling,7579960.43,17657,429.289258
Identity theft,Attempts to gain your personal information,5488378.98,15224,360.508341
Remote access scams,Attempts to gain your personal information,3844154.19,2601,1477.952399
inheritance and unexpected money,Unexpected money,2925531.95,1350,2167.060704
Rebate scams,Unexpected money,2817936.91,1495,1884.907632
Betting and sports investment scams,Investment scams,1484059.36,501,2962.194331
Psychic and clairvoyant,Buying or selling,1387633.65,91,15248.721429
Hacking,Attempts to gain your personal information,759131.88,8064,94.138378
"Travel, prizes and lottery scams",Unexpected winnings,691419.06,2098,329.561039
