Cybercrime type,Individual / business,Variable,2023,2024,Impacts,Significant difference
Online abuse and harassment only,Individual,Practical,29.4,26.2,"Practical impacts include: • Respondent found it harder to know which information to trust online • Respondent less confident using the internet for personal affairs (eg banking, purchasing items) • Respondent had to change personal, banking and/or contact information • Respondent’s studies were negatively impacted",no
Malware only,Individual,Practical,27.9,26.8,"Practical impacts include: • Respondent found it harder to know which information to trust online • Respondent less confident using the internet for personal affairs (eg banking, purchasing items) • Respondent had to change personal, banking and/or contact information • Respondent’s studies were negatively impacted",no
Identity crime and misuse only,Individual,Practical,38.5,35.2,"Practical impacts include: • Respondent found it harder to know which information to trust online • Respondent less confident using the internet for personal affairs (eg banking, purchasing items) • Respondent had to change personal, banking and/or contact information • Respondent’s studies were negatively impacted",no
Fraud and scams only,Individual,Practical,48.2,49.6,"Practical impacts include: • Respondent found it harder to know which information to trust online • Respondent less confident using the internet for personal affairs (eg banking, purchasing items) • Respondent had to change personal, banking and/or contact information • Respondent’s studies were negatively impacted",no
All cybercrime,Individual,Practical,40.9,39.9,"Practical impacts include: • Respondent found it harder to know which information to trust online • Respondent less confident using the internet for personal affairs (eg banking, purchasing items) • Respondent had to change personal, banking and/or contact information • Respondent’s studies were negatively impacted",no
Online abuse and harassment only,Individual,Social,13.4,22.2,Social impacts include: • Respondent was embarrassed • Respondent lost trust in other people • Respondent became more socially isolated • Respondent stated their relationship with their partner had been negatively impacted • Respondent stated their relationships with family and friends had been negatively impacted • Respondent felt their reputation was damaged,p<.001
Malware only,Individual,Social,10.7,21.8,Social impacts include: • Respondent was embarrassed • Respondent lost trust in other people • Respondent became more socially isolated • Respondent stated their relationship with their partner had been negatively impacted • Respondent stated their relationships with family and friends had been negatively impacted • Respondent felt their reputation was damaged,p<.001
Identity crime and misuse only,Individual,Social,9.1,11.1,Social impacts include: • Respondent was embarrassed • Respondent lost trust in other people • Respondent became more socially isolated • Respondent stated their relationship with their partner had been negatively impacted • Respondent stated their relationships with family and friends had been negatively impacted • Respondent felt their reputation was damaged,no
Fraud and scams only,Individual,Social,21.5,43.2,Social impacts include: • Respondent was embarrassed • Respondent lost trust in other people • Respondent became more socially isolated • Respondent stated their relationship with their partner had been negatively impacted • Respondent stated their relationships with family and friends had been negatively impacted • Respondent felt their reputation was damaged,p<.001
All cybercrime,Individual,Social,17.9,26.8,Social impacts include: • Respondent was embarrassed • Respondent lost trust in other people • Respondent became more socially isolated • Respondent stated their relationship with their partner had been negatively impacted • Respondent stated their relationships with family and friends had been negatively impacted • Respondent felt their reputation was damaged,p<.001
Online abuse and harassment only,Individual,Health,12.8,14.2,Health impacts include: • Respondent experienced mental or emotional distress • Respondent experienced difficulty sleeping • Respondent stated their overall physical health and wellbeing had deteriorated • Respondent had to seek psychological or counselling treatment • Respondent increased their consumption of alcohol,no
Malware only,Individual,Health,8,14.3,Health impacts include: • Respondent experienced mental or emotional distress • Respondent experienced difficulty sleeping • Respondent stated their overall physical health and wellbeing had deteriorated • Respondent had to seek psychological or counselling treatment • Respondent increased their consumption of alcohol,p<.001
Identity crime and misuse only,Individual,Health,6.7,8.3,Health impacts include: • Respondent experienced mental or emotional distress • Respondent experienced difficulty sleeping • Respondent stated their overall physical health and wellbeing had deteriorated • Respondent had to seek psychological or counselling treatment • Respondent increased their consumption of alcohol,no
Fraud and scams only,Individual,Health,12.7,17.9,Health impacts include: • Respondent experienced mental or emotional distress • Respondent experienced difficulty sleeping • Respondent stated their overall physical health and wellbeing had deteriorated • Respondent had to seek psychological or counselling treatment • Respondent increased their consumption of alcohol,no
All cybercrime,Individual,Health,15.9,19.6,Health impacts include: • Respondent experienced mental or emotional distress • Respondent experienced difficulty sleeping • Respondent stated their overall physical health and wellbeing had deteriorated • Respondent had to seek psychological or counselling treatment • Respondent increased their consumption of alcohol,p<.001
Online abuse and harassment only,Individual,Financial,7.8,6.2,"Financial impacts include: • Respondent experienced an increase in financial stress • Respondent had to pay for computer, phone or other hardware repairs or replacement • Respondent had to buy new software • Respondent had to borrow money from family and friends",no
Malware only,Individual,Financial,10.5,11.7,"Financial impacts include: • Respondent experienced an increase in financial stress • Respondent had to pay for computer, phone or other hardware repairs or replacement • Respondent had to buy new software • Respondent had to borrow money from family and friends",no
Identity crime and misuse only,Individual,Financial,7.3,8.7,"Financial impacts include: • Respondent experienced an increase in financial stress • Respondent had to pay for computer, phone or other hardware repairs or replacement • Respondent had to buy new software • Respondent had to borrow money from family and friends",no
Fraud and scams only,Individual,Financial,12.3,12.1,"Financial impacts include: • Respondent experienced an increase in financial stress • Respondent had to pay for computer, phone or other hardware repairs or replacement • Respondent had to buy new software • Respondent had to borrow money from family and friends",no
All cybercrime,Individual,Financial,15.4,16.7,"Financial impacts include: • Respondent experienced an increase in financial stress • Respondent had to pay for computer, phone or other hardware repairs or replacement • Respondent had to buy new software • Respondent had to borrow money from family and friends",no
Online abuse and harassment only,Individual,Legal,1,1.7,Legal impacts include: • Respondent had to commence legal action • Respondent had been in trouble with the police,no
Malware only,Individual,Legal,0.6,0.5,Legal impacts include: • Respondent had to commence legal action • Respondent had been in trouble with the police,no
Identity crime and misuse only,Individual,Legal,0.2,0.4,Legal impacts include: • Respondent had to commence legal action • Respondent had been in trouble with the police,no
Fraud and scams only,Individual,Legal,0,0.5,Legal impacts include: • Respondent had to commence legal action • Respondent had been in trouble with the police,no
All cybercrime,Individual,Legal,1.8,2.5,Legal impacts include: • Respondent had to commence legal action • Respondent had been in trouble with the police,no
Online abuse and harassment only,Individual,Any harm,41,40.8,,no
Malware only,Individual,Any harm,37.2,42.2,,no
Identity crime and misuse only,Individual,Any harm,43.3,43,,no
Fraud and scams only,Individual,Any harm,58.3,72,,p<.05
All cybercrime,Individual,Any harm,53.1,56.8,,p<.001
Online abuse and harassment only,Business,Disruption to everyday business function,4.4,10.3,"Disruption to everyday business function includes: • The business spent time repairing and improving systems • Had to change the business banking and/or contact information • Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning) • Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
Malware only,Business,Disruption to everyday business function,12.5,18,"Disruption to everyday business function includes: • The business spent time repairing and improving systems • Had to change the business banking and/or contact information • Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning) • Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
Identity crime and misuse only,Business,Disruption to everyday business function,5.9,10.6,"Disruption to everyday business function includes: • The business spent time repairing and improving systems • Had to change the business banking and/or contact information • Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning) • Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
Fraud and scams only,Business,Disruption to everyday business function,11.7,10.9,"Disruption to everyday business function includes: • The business spent time repairing and improving systems • Had to change the business banking and/or contact information • Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning) • Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
All cybercrime,Business,Disruption to everyday business function,24,25.6,"Disruption to everyday business function includes: • The business spent time repairing and improving systems • Had to change the business banking and/or contact information • Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning) • Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",no
Online abuse and harassment only,Business,Additional business expenses,4,5.4,"Additional business expenses includes: • Had to buy new software • Had to buy new backup data storage or data storage devices • Had to pay for computer, phone or other hardware repairs or replacement • Insurance premiums were increased",
Malware only,Business,Additional business expenses,12.1,10,"Additional business expenses includes: • Had to buy new software • Had to buy new backup data storage or data storage devices • Had to pay for computer, phone or other hardware repairs or replacement • Insurance premiums were increased",
Identity crime and misuse only,Business,Additional business expenses,1.6,7.4,"Additional business expenses includes: • Had to buy new software • Had to buy new backup data storage or data storage devices • Had to pay for computer, phone or other hardware repairs or replacement • Insurance premiums were increased",
Fraud and scams only,Business,Additional business expenses,24.6,6.9,"Additional business expenses includes: • Had to buy new software • Had to buy new backup data storage or data storage devices • Had to pay for computer, phone or other hardware repairs or replacement • Insurance premiums were increased",
All cybercrime,Business,Additional business expenses,15.8,15.3,"Additional business expenses includes: • Had to buy new software • Had to buy new backup data storage or data storage devices • Had to pay for computer, phone or other hardware repairs or replacement • Insurance premiums were increased",no
